cleaned_text,quality,packaging,shipping,price,overall
"sữa tốt mẫu mã đẹp vị ít ngọt bé thích uống",positive,positive,neutral,neutral,positive
"mẫu mã đẹp giao hàng cẩn thận đủ số lượng có quà tặng",positive,positive,positive,neutral,positive
"đóng gói chắc chắn giao hàng nhanh sữa ít đường bé hợp tác uống",positive,positive,positive,neutral,positive
"sữa tốt giao hàng nhanh săn được giá tốt",positive,neutral,positive,positive,positive
"giao hàng nhanh hàng mới date xa",positive,neutral,positive,neutral,positive
"đóng gói chống sốc tốt giá cả phù hợp free ship",neutral,positive,positive,positive,positive
"sữa hỗ trợ tăng cân tốt giao hàng nhanh săn sale giá rẻ",positive,neutral,positive,positive,positive
"sữa tốt phù hợp bé uống tăng cân giao hàng nhanh",positive,neutral,positive,neutral,positive
"bé thích uống săn sale giá rẻ",positive,neutral,neutral,positive,positive
"đóng gói cẩn thận sữa ít đường ngon bé hợp tác",positive,positive,neutral,neutral,positive
"giao hàng nhanh đóng gói cẩn thận",neutral,positive,positive,neutral,positive
"chất lượng sản phẩm tốt giao hàng nhanh đóng gói cẩn thận",positive,positive,positive,neutral,positive
"đóng gói chắc chắn giao hàng nhanh giá hời",neutral,positive,positive,positive,positive
"sản phẩm chất lượng đóng gói cẩn thận bảo quản tốt",positive,positive,neutral,neutral,positive
"dễ uống thơm ngon bé thích săn sale giá hời",positive,neutral,neutral,positive,positive
"sữa ngon chất lượng tốt giao hàng nhanh shop tư vấn không nhiệt tình",positive,neutral,positive,neutral,neutral
"giao hàng nhanh đóng gói cẩn thận",neutral,positive,positive,neutral,positive
"sữa ít đường vị ngọt dịu bé thích uống shop tư vấn nhiệt tình",positive,neutral,neutral,neutral,positive
"sữa ít đường tăng cân tốt cho hệ tiêu hoá",positive,neutral,neutral,neutral,positive
"bé uống hợp không bị đi ngoài",positive,neutral,neutral,neutral,positive
"sữa thơm béo bé không bị bón",positive,neutral,neutral,neutral,positive
"mẫu mã đẹp shop gói kỹ giao hàng nhanh",neutral,positive,positive,neutral,positive
"sữa ngọt dịu dễ uống shop tư vấn nhiệt tình",positive,neutral,neutral,neutral,positive
"sữa giúp bé tăng cân bé rất thích uống",positive,neutral,neutral,neutral,positive
"sữa ngọt hơn nhiều so với sữa thường dùng",negative,neutral,neutral,neutral,negative
"bé hợp tác uống ngon miệng vị ngọt vừa phải",positive,neutral,neutral,neutral,positive
"mùi vị nhạt dễ uống giao hàng nhanh đóng gói tạm ổn",positive,neutral,positive,neutral,positive
"nhận sữa đóng gói ok giao hàng nhanh",neutral,positive,positive,neutral,positive
"vị nhạt nhẹ dễ uống giao hàng nhanh",positive,neutral,positive,neutral,positive
"sữa ngon béo đóng gói tiện lợi dễ dùng",positive,positive,neutral,neutral,positive
"sữa ít đường dễ uống đóng gói cẩn thận",positive,positive,neutral,neutral,positive
"giao hàng nhanh đóng gói kỹ bé uống hợp",positive,positive,positive,neutral,positive
"sữa ít đường vị ngọt vừa phải hộp chắc chắn",positive,positive,neutral,neutral,positive
"đóng gói kỹ giao nhanh săn sale giá tốt",neutral,positive,positive,positive,positive
"giao nhanh bọc kỹ chưa biết chất lượng",neutral,positive,positive,neutral,neutral
"trải nghiệm tốt uy tín an toàn",positive,neutral,neutral,neutral,positive
"sữa khá ngọt bé không thích",negative,neutral,neutral,neutral,negative
"sữa thơm ngon hỗ trợ tăng cân hấp thụ tốt",positive,positive,neutral,neutral,positive
"sữa ngọt nhẹ ít béo bé thích giao nhanh",positive,neutral,positive,neutral,positive
"giao hàng nhanh yên tâm về chất lượng",positive,neutral,positive,neutral,positive
"giao hàng nhanh đóng gói cẩn thận hàng chính hãng",positive,positive,positive,neutral,positive
"sữa giúp bé tăng cân chiều cao tốt đóng gói cẩn thận",positive,positive,neutral,neutral,positive
"mua hàng chính hãng shipper thân thiện",positive,neutral,positive,neutral,positive
"sữa tốt cho trẻ tăng cân nhưng chưa thấy tăng",negative,neutral,neutral,neutral,negative
"hộp đựng chắc chắn sữa ít đường ngọt thanh bé thích",positive,positive,neutral,neutral,positive
"sản phẩm tốt bé rất thích",positive,neutral,neutral,neutral,positive
"gửi hàng nhanh đóng gói cẩn thận vị ngọt dịu dễ uống",positive,positive,positive,neutral,positive
"sữa ít đường vị ngọt vừa đủ giao hàng nhanh đóng gói cẩn thận",positive,positive,positive,neutral,positive
"sữa chính hãng bé uống tiêu hoá tốt tăng cân",positive,neutral,neutral,neutral,positive
